"HR","PR"
3.75,0.902189745270606
8.25,0.641600798073656
12.75,0.481177130522751
17.25,0.382482275330599
21.75,0.316743524195819
26.25,0.270062795836507
30.75,0.235278089709331
35.25,0.208385486220401
39.75,0.186985587023461
44.25,0.169557642099579
